Modelo,Acurácia,Precisão (AVC),Recall (AVC),F1-Score (AVC)
Árvore (max_depth=3),0.6604696673189824,0.10817941952506596,0.82,0.19114219114219114
Árvore (max_depth=5),0.6839530332681018,0.11549295774647887,0.82,0.20246913580246914
Árvore (max_depth=10),0.7407045009784736,0.11469534050179211,0.64,0.1945288753799392
"KNN (K=15, Euclidiana, peso uniforme)",0.7583170254403131,0.10441767068273092,0.52,0.17391304347826086
"KNN (K=15, Manhattan, peso uniforme)",0.7925636007827789,0.11428571428571428,0.48,0.18461538461538463
"KNN (K=15, Euclidiana, peso por distância)",0.7964774951076321,0.10891089108910891,0.44,0.1746031746031746
"KNN (K=11, Euclidiana, peso uniforme)",0.7818003913894325,0.10138248847926268,0.44,0.1647940074906367
"KNN (K=9, Euclidiana, peso uniforme)",0.7915851272015656,0.1024390243902439,0.42,0.16470588235294117
"KNN (K=11, Euclidiana, peso por distância)",0.815068493150685,0.11173184357541899,0.4,0.17467248908296942
"KNN (K=9, Manhattan, peso uniforme)",0.824853228962818,0.11834319526627218,0.4,0.182648401826484
"KNN (K=7, Manhattan, peso uniforme)",0.8365949119373777,0.12738853503184713,0.4,0.1932367149758454
"KNN (K=7, Euclidiana, peso uniforme)",0.8131115459882583,0.10614525139664804,0.38,0.16593886462882096
"KNN (K=11, Manhattan, peso uniforme)",0.8072407045009785,0.10270270270270271,0.38,0.16170212765957448
"KNN (K=15, Manhattan, peso por distância)",0.821917808219178,0.11176470588235295,0.38,0.17272727272727273
"KNN (K=5, Euclidiana, peso uniforme)",0.8277886497064579,0.10625,0.34,0.1619047619047619
"KNN (K=5, Manhattan, peso uniforme)",0.850293542074364,0.12408759124087591,0.34,0.18181818181818182
"KNN (K=9, Euclidiana, peso por distância)",0.824853228962818,0.09937888198757763,0.32,0.15165876777251186
"KNN (K=11, Manhattan, peso por distância)",0.8395303326810176,0.10416666666666667,0.3,0.15463917525773196
"KNN (K=9, Manhattan, peso por distância)",0.8444227005870841,0.1079136690647482,0.3,0.15873015873015872
"KNN (K=7, Manhattan, peso por distância)",0.850293542074364,0.11278195488721804,0.3,0.16393442622950818
"KNN (K=7, Euclidiana, peso por distância)",0.8287671232876712,0.0967741935483871,0.3,0.14634146341463414
"KNN (K=5, Euclidiana, peso por distância)",0.8424657534246576,0.0948905109489051,0.26,0.13903743315508021
"KNN (K=5, Manhattan, peso por distância)",0.8581213307240705,0.10743801652892562,0.26,0.15204678362573099
"KNN (K=3, Euclidiana, peso uniforme)",0.8551859099804305,0.10483870967741936,0.26,0.14942528735632185
"KNN (K=3, Euclidiana, peso por distância)",0.8659491193737769,0.11504424778761062,0.26,0.15950920245398773
Árvore (max_depth=None (sem limite)),0.8718199608610567,0.11428571428571428,0.24,0.15483870967741936
"KNN (K=3, Manhattan, peso uniforme)",0.863013698630137,0.09821428571428571,0.22,0.13580246913580246
"KNN (K=3, Manhattan, peso por distância)",0.8698630136986302,0.0970873786407767,0.2,0.13071895424836602
"Baseline trivial (prevê ""sem AVC"" p/ todos)",0.9510763209393346,0.0,0.0,0.0
